,pct,dataset,metriek,avg,std,avgTijd [s],stdTijd [s]
0,7,texas,F1,0.35300546448087433,0.004371584699453556,16.293463706970215,0.0
1,14,texas,NMI,0.07507446272981128,0.0036782754158983196,16.40689206123352,0.0
2,21,cornell,F1,0.346448087431694,0.005572698921959333,16.930549383163452,0.0
3,29,cornell,NMI,0.14231435288239574,0.0016884746355646596,15.958332538604736,0.0
4,36,wisconsin,F1,0.3705179282868526,0.0,18.38615655899048,0.0
5,43,wisconsin,NMI,0.11891174526588325,0.004156540478189254,16.243927240371704,0.0
6,50,chameleon,F1,0.30610452349582784,0.0008783487044356719,38.66300058364868,0.0
7,57,chameleon,NMI,0.08763325875196118,0.001454169294834492,38.22372817993164,0.0
8,64,squirrel,F1,0.28706018073447415,0.0036011643202286257,153.7011740207672,0.0
